code	type	faculty	teacher	place	units	url	people	A	B	C	D	F	other	mean
10807113	学部	"○現代文化概論
Contemporary Cultural Studies"	柳沢　英輔	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807113000.html	323.0	8.7	20.7	35.6	15.8	19.2	0.0	1.8
10807114	学部	"△歴史文化情報入門
Introduction to Historic and Cultural Information"	鋤柄　俊夫	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807114000.html	102.0	15.7	19.6	41.2	2.0	21.6	0.0	2.1
10807115	学部	"△文献学入門
Introduction to Philology"	福田　智子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807115000.html	129.0	5.4	18.6	10.9	34.9	30.2	0.0	1.3
10807121	学部	"○歴史文化情報概説
Survey of Historic and Cultural Information"	鋤柄　俊夫	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807121000.html	56.0	21.4	41.1	23.2	1.8	12.5	0.0	2.6
10807122	学部	"○文献講読(百人一首を読む)
Reading Literature"	福田　智子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807122000.html	92.0	14.1	17.4	14.1	30.4	23.9	0.0	1.7
10807123	学部	"△伝統音楽論
Classical Music"	柳沢　英輔	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807123000.html	213.0	8.9	18.8	26.8	23.5	22.1	0.0	1.7
10807124	学部	"△文献解析
Analysis of Literature"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807124000.html	62.0	16.1	6.5	16.1	11.3	50.0	0.0	1.3
10807125	学部	"△美術史学
Art History"	中安　真理	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807125000.html	82.0	11.0	11.0	46.3	18.3	13.4	0.0	1.9
10807126	学部	"△文化・社会人類学
Cultural and Social Anthropology"	津村　宏臣	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807126000.html	127.0	32.3	32.3	22.0	3.9	9.4	0.0	2.7
10807211	学部	"○ことばと文化
Language and Culture"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807211000.html	144.0	8.3	21.5	25.7	25.7	18.8	0.0	1.8
10807212	学部	"○ことばの科学
The Science of Language"	星　英仁	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807212000.html	230.0	17.4	30.0	24.3	17.0	11.3	0.0	2.3
10807213	学部	"△ことばと社会
Language and Society"	伊藤　紀子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807213000.html	145.0	11.7	36.6	18.6	9.7	23.4	0.0	2.0
10807214	学部	"△世界の諸言語
Languages of the World"	田中　雄	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807214000.html	112.0	10.7	26.8	28.6	8.9	25.0	0.0	1.9
10807221	学部	"○コーパス言語学
Corpus Linguistics"	伊藤　紀子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807221000.html	43.0	18.6	25.6	14.0	7.0	34.9	0.0	1.9
10807222	学部	"○言語研究の方法１
Methodologies to Linguistic Study 1"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807222000.html	128.0	11.7	26.6	28.1	18.8	14.8	0.0	2.0
10807223	学部	"○言語類型論
Linguistic Typology"	沈　力	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807223000.html	136.0	6.6	14.0	15.4	30.1	33.8	0.0	1.3
10807224	学部	"△言語研究の方法２
Methodologies to Linguistic Study 2"	沈　力	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807224000.html	52.0	7.7	19.2	40.4	15.4	17.3	0.0	1.8
10807225	学部	"△音韻論
Phonology"	田中　雄	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807225000.html	34.0	17.6	26.5	14.7	14.7	26.5	0.0	1.9
10807311	学部	"○身体論
Body Studies"	"阪田　真己子
菊地　暁
後安　美紀
山本　倫也
鈴木　康史"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807311000.html	361.0	16.1	21.1	24.4	16.9	21.6	0.0	1.9
10807312	学部	"△認知科学入門
Introduction to Cognitive Science"	杉尾　武志	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807312000.html	300.0	13.7	24.3	22.0	17.0	23.0	0.0	1.9
10807313	学部	"△人間と感性
Human Beings and Kansei"	大塚　幸生	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807313000.html	243.0	31.3	12.8	12.8	19.3	23.9	0.0	2.1
10807314	学部	"△社会調査入門
Introduction to Social Survey"	石岡　学	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807314000.html	262.0	15.6	28.6	24.0	15.3	16.4	0.0	2.1
10807321	学部	"○感覚・知覚論
Sensation and Perception"	杉尾　武志	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807321000.html	293.0	5.8	15.0	24.2	26.3	28.7	0.0	1.4
10807322	学部	"○人間と文化
Human Beings and Culture"	田口　哲也	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807322000.html	168.0	8.3	13.7	19.0	26.8	32.1	0.0	1.4
10807323	学部	"○社会調査法
Methodology of Social Survey"	鄭　躍軍	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807323000.html	159.0	17.0	23.3	22.0	11.3	26.4	0.0	1.9
10807324	学部	"○計量社会学
Sociometry"	鄭　躍軍	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807324000.html	45.0	28.9	11.1	4.4	15.6	40.0	0.0	1.7
10807325	学部	"△視覚表現論
Visual Representations"	"下嶋　篤
後安　美紀"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807325000.html	252.0	5.6	19.8	43.3	20.2	11.1	0.0	1.9
10807326	学部	"△比較文化論
Comparative Cultural Studies"	田口　哲也	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807326000.html	92.0	6.5	13.0	13.0	26.1	41.3	0.0	1.2
10807327	学部	"△身体メディア論
Human Body as Medium"	阪田　真己子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807327000.html	315.0	16.8	18.7	23.8	16.8	23.8	0.0	1.9
10807328	学部	"△社会調査演習
Exercise for Social Survey"	"宿久　洋
鄭　躍軍
浦部　治一郎
川﨑　廣𠮷
山原　英男
藤田　成隆"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807328000.html	52.0	34.6	44.2	13.5	0.0	7.7	0.0	3.0
10807411-001	学部	"○データサイエンス入門-1
Introduction to Data Science-1"	"宿久　洋
玉谷　充
原　尚幸"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807411001.html	279.0	6.1	11.1	15.8	38.4	28.7	0.0	1.3
10807411-002	学部	"○データサイエンス入門-2
Introduction to Data Science-2"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807411002.html	46.0	41.3	8.7	17.4	19.6	13.0	0.0	2.5
10807412-001	学部	"○データサイエンス入門演習-1
Exercise for Introductory Data Science-1"	"宿久　洋
玉谷　充
原　尚幸"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807412001.html	279.0	6.1	18.3	28.0	26.9	20.8	0.0	1.6
10807412-002	学部	"○データサイエンス入門演習-2
Exercise for Introductory Data Science-2"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807412002.html	50.0	52.0	30.0	14.0	2.0	2.0	0.0	3.3
10807413-001	学部	"△データサイエンス基礎-1
Fundamentals in Data Science-1"	"宿久　洋
玉谷　充
原　尚幸"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807413001.html	237.0	22.4	18.1	13.9	21.5	24.1	0.0	1.9
10807413-002	学部	"△データサイエンス基礎-2
Fundamentals in Data Science-2"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807413002.html	62.0	12.9	27.4	40.3	11.3	8.1	0.0	2.3
10807413-003	学部	"△データサイエンス基礎-3
Fundamentals in Data Science-3"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807413003.html	64.0	12.5	29.7	35.9	12.5	9.4	0.0	2.2
10807414-001	学部	"△データサイエンス演習-1
Exercise for Data Science-1"	"宿久　洋
玉谷　充
原　尚幸"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807414001.html	237.0	5.9	13.1	16.5	32.5	32.1	0.0	1.3
10807414-002	学部	"△データサイエンス演習-2
Exercise for Data Science-2"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807414002.html	61.0	23.0	31.1	32.8	9.8	3.3	0.0	2.6
10807414-003	学部	"△データサイエンス演習-3
Exercise for Data Science -3"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807414003.html	59.0	22.0	44.1	15.3	11.9	6.8	0.0	2.6
10807421	学部	"○定量的データ分析
Quantitative Data Analysis"	"矢野　環
原　尚幸"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807421000.html	209.0	25.8	25.4	22.0	12.9	13.9	0.0	2.4
10807422	学部	"○定量的データ分析演習
Exercise for Quantitative Data Analysis"	"宿久　洋
矢野　環
原　尚幸
河瀬　彰宏"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807422000.html	213.0	20.2	18.8	22.1	14.1	24.9	0.0	2.0
10807423	学部	"△定性的データ分析
Qualitative Data Analysis"	金　明哲	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807423000.html	65.0	15.4	40.0	27.7	9.2	7.7	0.0	2.5
10807424	学部	"△定性的データ分析演習
Exercise for Qualitative Data Analysis"	金　明哲	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807424000.html	41.0	4.9	36.6	29.3	14.6	14.6	0.0	2.0
10807511-001	学部	"○数学入門-1
Introduction to Mathematics-1"	玉谷　充	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807511001.html	152.0	25.7	25.0	15.1	13.2	21.1	0.0	2.2
10807511-002	学部	"○数学入門-2
Introduction to Mathematics-2"	根岸　章	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807511002.html	159.0	17.6	18.9	22.0	25.2	16.4	0.0	2.0
10807511-003	学部	"○数学入門-3
Introduction to Mathematics-3"	松田　真実	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807511003.html	77.0	46.8	26.0	20.8	1.3	5.2	0.0	3.1
10807512	学部	"○論理と数理
Introduction to Logic and Mathematics"	"下嶋　篤
新　茂之"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807512000.html	116.0	28.4	18.1	19.0	14.7	19.8	0.0	2.2
10807513-001	学部	"○線形代数-1
Linear Algebra-1"	浦部　治一郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807513001.html	66.0	24.2	16.7	24.2	18.2	16.7	0.0	2.1
10807513-002	学部	"○線形代数-2
Linear Algebra-2"	根岸　章	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807513002.html	68.0	26.5	23.5	25.0	14.7	10.3	0.0	2.4
10807514	学部	"△離散数学
Discrete Mathematics"	深川　大路	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807514000.html	33.0	24.2	12.1	24.2	12.1	27.3	0.0	1.9
10807515	学部	"△微分積分
Analysis"	浦部　治一郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807515000.html	102.0	15.7	24.5	23.5	24.5	11.8	0.0	2.1
10807521	学部	"○確率・統計
Introduction to Probability and Statistics"	玉谷　充	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807521000.html	64.0	28.1	10.9	20.3	17.2	23.4	0.0	2.0
10807522	学部	"○微分方程式
Differential Equations"	川﨑　廣𠮷	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807522000.html	38.0	10.5	18.4	21.1	15.8	34.2	0.0	1.6
10807523	学部	"△数理統計
Mathematical Statistics"	宿久　洋	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807523000.html	41.0	24.4	12.2	12.2	17.1	34.1	0.0	1.8
10807524	学部	"△現象と数理
Phenomena and Mathematics"	浦部　治一郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807524000.html	12.0	33.3	25.0	16.7	16.7	8.3	0.0	2.6
10807525	学部	"△最適化法
Optimization Methods"	深川　大路	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807525000.html	15.0	46.7	13.3	6.7	13.3	20.0	0.0	2.5
10807611	学部	"○情報倫理
Information Moral"	"川崎　友巳
植平　朋行
四方　奨"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807611000.html	334.0	2.4	37.1	45.5	10.5	4.5	0.0	2.2
10807612	学部	"○プログラミング入門
Introduction to Programming"	"波多野　賢治
深川　大路
山西　良典
鎌田　真由美
太田　公子"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807612000.html	297.0	10.8	36.7	14.1	21.2	17.2	0.0	2.0
10807613	学部	"△コンピュータの仕組み
Mechanism of Computers"	杉本　裕二	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807613000.html	242.0	5.0	18.6	32.2	25.6	18.6	0.0	1.7
10807614	学部	"△プログラミング基礎
Fundamentals of Programming"	"波多野　賢治
深川　大路
川原　純"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807614000.html	147.0	19.0	32.0	23.8	7.5	17.7	0.0	2.3
10807621	学部	"○情報理論
Information Theory"	深川　大路	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807621000.html	85.0	14.1	25.9	10.6	12.9	36.5	0.0	1.7
10807622	学部	"○プログラミング応用
Advanced Programming"	"波多野　賢治
深川　大路"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807622000.html	29.0	13.8	58.6	17.2	0.0	10.3	0.0	2.7
10807623	学部	"△データベースシステム
Database Systems"	波多野　賢治	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807623000.html	21.0	23.8	33.3	14.3	4.8	23.8	0.0	2.3
10807624	学部	"△情報セキュリティ
Information Security"	矢内　直人	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807624000.html	70.0	8.6	31.4	25.7	12.9	21.4	0.0	1.9
10807851	学部	"○体験型教養科目(美術・芸術の展示・推進計画)
Experiential Liberal Arts (Experiential Liberal Arts)"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807851000.html	121.0	20.7	28.1	23.1	10.7	17.4	0.0	2.2
10807854	学部	"△体験型教養科目(環境と情報)
Experiential Liberal Arts (Experiential Liberal Arts)"	"鄭　躍軍
林田　明
岸　基史"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807854000.html	79.0	13.9	27.8	25.3	8.9	24.1	0.0	2.0
10807856	学部	"△体験型教養科目(京都の伝統文化)
Experiential Liberal Arts (Experiential Liberal Arts)"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807856000.html	128.0	18.0	20.3	20.3	15.6	25.8	0.0	1.9
10807858	学部	"△体験型教養科目(「わざ学」のすすめ)
Experiential Liberal Arts (Experiential Liberal Arts)"	阪田　真己子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807858000.html	305.0	11.8	32.1	29.2	16.4	10.5	0.0	2.2
10807859	学部	"△体験型教養科目(Ｏｐｅｎ　Ｄｏｏｒｓ　Ｐｒｏｇｒａｍ：Ｅｘｐｌｏｒｉｎｇ　Ｎｅｗ　Ｏｒｌｅａｎｓ)
Experiential Liberal Arts (Experiential Liberal Arts)"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807859000.html								
10807862	学部	"○体験型教養科目(Short Program in Heinrich Heine University)
Experiential Liberal Arts (Project-based Independent Short Program in Heinrich Heine University Dusseldorf)"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807862000.html								
10807864	学部	"△体験型教養科目(金融・投資の計量分析入門)
Experiential Liberal Arts (Experiential Liberal Arts)"	津田　博史	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807864000.html	51.0	70.6	2.0	2.0	5.9	19.6	0.0	3.0
10807865	学部	"○体験型教養科目(Industry-Leading Analytics　ビジネスで活用されるアナリティクス)
Experiential Liberal Arts (Experiential Liberal Arts)"	宿久　洋	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807865000.html	86.0	25.6	22.1	10.5	22.1	19.8	0.0	2.1
10809110	学部	"△代数学
Algebra"	浦部　治一郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809110000.html	55.0	12.7	12.7	25.5	40.0	9.1	0.0	1.8
10809111-001	学部	"○教科教育法Ｂ（数学）-1
Methods in Teaching Mathematics B-1"	川﨑　廣𠮷	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809111001.html								
10809111-002	学部	"○教科教育法Ｂ（数学）-2
Methods in Teaching Mathematics B-2"	根岸　章	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809111002.html								
10809111-003	学部	"○教科教育法Ｂ（数学）-3
Methods in Teaching Mathematics B-3"	沖田　悟傳	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809111003.html								
10809111-004	学部	"○教科教育法Ｂ（数学）-4
Methods in Teaching Mathematics B-4"	多久和　英樹	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809111004.html								
10809114-001	学部	"教育実習の研究-1
Research in Teaching Practicum-1"	"深川　大路
浦部　治一郎"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809114001.html								
10809114-003	学部	"教育実習の研究-3
Research in Teaching Practicum-3"	"鋤柄　俊夫
杉尾　武志
中瀬　浩一"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809114003.html								
10809115-001	学部	"教育実習Ａ-1
Teaching Practicum A-1"	"深川　大路
浦部　治一郎"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809115001.html								
10809115-003	学部	"教育実習Ａ-3
Teaching Practicum A-3"	"鋤柄　俊夫
杉尾　武志
中瀬　浩一"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809115003.html								
10809116-001	学部	"教育実習Ｂ-1
Teaching Practicum B-1"	"深川　大路
浦部　治一郎"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809116001.html								
10809116-003	学部	"教育実習Ｂ-3
Teaching Practicum B-3"	"鋤柄　俊夫
杉尾　武志
中瀬　浩一"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809116003.html								
10809117-001	学部	"教育実習Ｃ-1
Teaching Practicum C-1"	"深川　大路
浦部　治一郎"	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809117001.html								
10809117-003	学部	"教育実習Ｃ-3
Teaching Practicum C-3"	"鋤柄　俊夫
杉尾　武志
中瀬　浩一"	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809117003.html								
10809118-001	学部	"○幾何学Ⅰ-1
Geometry I-1"	菅原　邦雄	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809118001.html	11.0	0.0	27.3	18.2	18.2	36.4	0.0	1.4
10809118-002	学部	"○幾何学Ⅰ-2
Geometry I-2"	岩塚　明	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809118002.html	12.0	16.7	0.0	25.0	25.0	33.3	0.0	1.4
10809119-001	学部	"△幾何学Ⅱ-1
Geometry II-1"	菅原　邦雄	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809119001.html	10.0	20.0	10.0	20.0	0.0	50.0	0.0	1.5
10809119-002	学部	"△幾何学Ⅱ-2
Geometry II-2"	岩塚　明	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809119002.html	17.0	17.6	11.8	29.4	29.4	11.8	0.0	1.9
10809120	学部	"○情報処理演習
Exercise in Information Processing"	深川　大路	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809120000.html								
10809125-001	学部	"経済原論-1
Principles of Economics-1"	小田　勇一	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809125001.html								
10809125-051	学部	"○経済原論-51
Principles of Economics-51"	"小田　勇一
北川　雅章"	今出川	4単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809125051.html								
10809126-001	学部	"△教職実践演習（中・高）-1
Teaching Practical Seminar (Secondary Education)-1"	"片桐　滋
深川　大路
大橋　忠司
浦部　治一郎
川﨑　廣𠮷
内山　伊知郎
中瀬　浩一
沖田　悟傳"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809126001.html								
10809126-003	学部	"△教職実践演習（中・高）-3
Teaching Practical Seminar (Secondary Education)-3"	"鋤柄　俊夫
杉尾　武志
沖田　悟傳
内山　伊知郎
児玉　祥一
中瀬　浩一"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809126003.html								
10809127-001	学部	"教育実習指導-1
Research in Teaching Practicum-1"	"深川　大路
浦部　治一郎"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809127001.html								
10809127-003	学部	"教育実習指導-3
Research in Teaching Practicum-3"	"鋤柄　俊夫
杉尾　武志
中瀬　浩一"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0809/10809127003.html								
30810003	博前	"○数理文献学特論１
Advanced Lectures in Mathematical Philology 1"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810003000.html								
30810004	博前	"△数理文献学特論２
Advanced Lectures in Mathematical Philology 2"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810004000.html								
30810007	博前	"○歴史文化情報特論１
Advanced Lectures in Historical Cultural Information Studies 1"	鋤柄　俊夫	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810007000.html								
30810008	博前	"△歴史文化情報特論２
Advanced Lectures in Historical Cultural Information Studies 2"	鋤柄　俊夫	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810008000.html								
30810009	博前	"○文化資源化学分析法特論１
Advanced Lectures in Analytical Chemistry for Cultural Properties 1"	塚越　一彦	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810009000.html								
30810010	博前	"△文化資源化学分析法特論２
Advanced Lectures in Analytical Chemistry for Cultural Properties 2"	塚越　一彦	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810010000.html								
30810011	博前	"○日本古典文学情報特論１
Advanced Lectures in Japanese Classical Literature Information 1"	福田　智子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810011000.html								
30810012	博前	"△日本古典文学情報特論２
Advanced Lectures in Japanese Classical Literature Information 2"	福田　智子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810012000.html								
30810013	博前	"○人類生態・時空間情報特論１
Advanced Lectures in Human Ecology and Spatio-temporal Informatics 1"	津村　宏臣	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810013000.html								
30810014	博前	"△人類生態・時空間情報特論２
Advanced Lectures in Human Ecology and Spatio-temporal Informatics 2"	津村　宏臣	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0810/30810014000.html								
30820001	博前	"○言語データ科学特論１
Advanced Lectures in Data Science and Linguistics 1"	金　明哲	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820001000.html	11.0	36.4	54.5	9.1	0.0	0.0	0.0	0.0
30820002	博前	"△言語データ科学特論２
Advanced Lectures in Data Science and Linguistics 2"	金　明哲	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820002000.html								
30820003	博前	"○言語生態研究特論１
Advanced Lectures in Linguistic Ecological Studies 1"	沈　力	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820003000.html								
30820004	博前	"△言語生態研究特論２
Advanced Lectures in Linguistic Ecological Studies 2"	沈　力	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820004000.html								
30820005	博前	"○コーパス言語学研究特論
Advanced Lectures in Corpus Linguistics"	益岡　隆志	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820005000.html								
30820006	博前	"△言語コミュニケーション特論
Advanced Lectures in Linguistics and Communication"	益岡　隆志	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820006000.html								
30820007	博前	"○言語記述研究特論
Advanced Lectures in Linguistic Description"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820007000.html								
30820008	博前	"△計量語法研究特論
Advanced Lectures in Statistical Usage Study"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820008000.html								
30820009	博前	"○言語計算システム特論
Advanced Lectures in Linguistic Computational System"	星　英仁	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820009000.html								
30820010	博前	"△言語インターフェイス特論
Advanced Lectures in Linguistic Interfaces"	星　英仁	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820010000.html								
30820011	博前	"○言語運用研究特論
Advanced Lectures in Functional Linguistics"	伊藤　紀子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820011000.html								
30820012	博前	"△言語計算科学特論
Advanced Lectures in Computational Linguistics"	伊藤　紀子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0820/30820012000.html								
30830001	博前	"○マルティメディア情報環境特論１
Advanced Lectures in Multimedia Environments 1"	杉本　裕二	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0830/30830001000.html								
30830002	博前	"△マルティメディア情報環境特論２
Advanced Lectures in Multimedia Environments 2"	杉本　裕二	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0830/30830002000.html								
30830003	博前	"○未来学特論１
Advanced Lectures in Foresight and Futures Studies 1"	田口　哲也	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0830/30830003000.html								
30830004	博前	"△未来学特論２
Advanced Lectures in Foresight and Futures Studies 2"	田口　哲也	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0830/30830004000.html								
30830005	博前	"○グラフィック表現研究法特論１
Seminar on the Method of Studying Graphical Representations 1"	下嶋　篤	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0830/30830005000.html								
30830006	博前	"△グラフィック表現研究法特論２
Seminar on the Method of Studying Graphical Representations 2"	下嶋　篤	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0830/30830006000.html								
30830007	博前	"○計量社会学特論１
Advanced Lectures in Sociometry 1"	鄭　躍軍	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0830/30830007000.html								
30830008	博前	"△計量社会学特論２
Advanced Lectures in Sociometry 2"	鄭　躍軍	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0830/30830008000.html								
