code	type	faculty	teacher	place	units	url	people	A	B	C	D	F	other	mean
10806042-014	学部	"△卒業研究Ⅱ-14
Graduation Study II-14"	下嶋　篤	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042014.html								
10806042-016	学部	"△卒業研究Ⅱ-16
Graduation Study II-16"	杉本　裕二	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042016.html								
10806042-017	学部	"△卒業研究Ⅱ-17
Graduation Study II-17"	杉尾　武志	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042017.html								
10806042-018	学部	"△卒業研究Ⅱ-18
Graduation Study II-18"	鋤柄　俊夫	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042018.html								
10806042-019	学部	"△卒業研究Ⅱ-19
Graduation Study II-19"	田口　哲也	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042019.html								
10806042-021	学部	"△卒業研究Ⅱ-21
Graduation Study II-21"	津村　宏臣	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042021.html								
10806042-022	学部	"△卒業研究Ⅱ-22
Graduation Study II-22"	浦部　治一郎	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042022.html								
10806042-023	学部	"△卒業研究Ⅱ-23
Graduation Study II-23"	宿久　洋	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042023.html								
10806042-024	学部	"△卒業研究Ⅱ-24
Graduation Study II-24"	山内　信幸	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042024.html								
10806042-025	学部	"△卒業研究Ⅱ-25
Graduation Study II-25"	矢野　環	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042025.html								
10806042-026	学部	"△卒業研究Ⅱ-26
Graduation Study II-26"	鄭　躍軍	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042026.html								
10806042-028	学部	"△卒業研究Ⅱ-28
Graduation Study II-28"	深川　大路	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042028.html								
10806042-033	学部	"△卒業研究Ⅱ-33
Graduation Study II-33"	石岡　学	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042033.html								
